Name,Predicted_Global_Sales,Actual_Global_Sales,,,,,
Bubble Bobble also featuring Rainbow Islands,0.060870156,0.06,,-0.000870156,,,
From The Abyss,0.059920989,0.06,,7.9011E-05,,,
High School Musical 3: Senior Year,1.560259029,1.56,,-0.000259029,,,
Naxat Soft Reachmania Vol. 1: CR Galaxy Angel,0.010385431,0.01,,-0.000385431,,,
Momotarou Dentetsu World,0.190362401,0.19,,-0.000362401,,,
Hakuouki: Reimeiroku Portable,0.040144987,0.04,,-0.000144987,,,
Amped 3,0.16033043,0.16,,-0.00033043,,,
Surf Riders,0.130287014,0.13,,-0.000287014,,,
Suite PreCure: Melody Collection,0.13037008,0.13,,-0.00037008,,,
Saint Seiya: Brave Soldiers,0.070052005,0.07,,-5.20054E-05,,,
Pokemon Channel,0.37995626,0.38,,4.37397E-05,,,
The Spiderwick Chronicles,0.180316493,0.19,,0.009683507,,,
Lunar Knights,0.229753956,0.23,,0.000246044,,,
Madden NFL 07,0.030277021,0.03,,-0.000277021,,,
NASCAR 07,0.110244974,0.11,,-0.000244974,,,
The Incredibles,0.840511568,0.84,,-0.000511568,,,
SpongeBob SquarePants: Double Pack,0.320603885,0.32,,-0.000603885,,,
Castlevania Dracula X,0.090613894,0.09,,-0.000613894,,,
MySims Collection,0.140178137,0.14,,-0.000178137,,,
ATV Quad Kings,0.210343026,0.22,,0.009656974,,,
NFL GameDay 2004,0.410106003,0.41,,-0.000106003,,,
Harry Potter and the Order of the Phoenix,0.470162071,0.46,,-0.010162071,,,
Greg Hastings' Tournament Paintball Max'd,0.030498683,0.03,,-0.000498683,,,
Chicken Blaster,0.040497392,0.04,,-0.000497392,,,
007: The World is not Enough,1.560375772,1.55,,-0.010375772,,,
Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,0.070031226,0.07,,-3.12257E-05,,,
Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,0.010385431,0.01,,-0.000385431,,,
Fight Night Round 2,0.870066851,0.87,,-6.68514E-05,,,
Predator: Concrete Jungle,0.200243212,0.2,,-0.000243212,,,
All Star Cheer Squad,0.80013781,0.79,,-0.01013781,,,
The Dukes of Hazzard: Return of the General Lee,0.22029575,0.21,,-0.01029575,,,
Handball 16,0.060241133,0.06,,-0.000241133,,,
Dead Island,2.369753197,2.37,,0.000246803,,,
Gears of War,6.08957874,6.09,,0.00042126,,,
MapleStory DS,0.030036345,0.03,,-3.63451E-05,,,
Car Battler Joe,0.019962452,0.02,,3.75476E-05,,,
Challenge Me: Brain Puzzles,0.060800292,0.06,,-0.000800292,,,
Marble Madness / Klax,0.030676089,0.03,,-0.000676089,,,
RollerCoaster Tycoon 2: Triple Thrill Pack,0.020368926,0.03,,0.009631074,,,
Rally Fusion: Race of Champions,0.130326912,0.13,,-0.000326912,,,
Soma Bringer,0.110026106,0.11,,-2.61062E-05,,,
Just Dance 2015,0.390289076,0.39,,-0.000289076,,,
Battlefield 4,3.490285568,3.48,,-0.010285568,,,
Baseball,1.610231884,1.61,,-0.000231884,,,
Blinx 2: Masters of Time & Space,0.160609365,0.15,,-0.010609365,,,
World of Outlaws: Sprint Cars 2002,0.470331937,0.48,,0.009668063,,,
Parodius,0.1606768,0.17,,0.0093232,,,
Destiny,5.639707483,5.64,,0.000292517,,,
Legend of the Guardians: The Owls of Ga'Hoole,0.130314872,0.12,,-0.010314872,,,
Burnout,0.740226842,0.74,,-0.000226842,,,
Just Dance 2015,0.730291463,0.73,,-0.000291463,,,
FIFA Soccer 11,1.070161887,1.07,,-0.000161887,,,
Spider-Man 3,0.900678806,0.9,,-0.000678806,,,
Persona 4: Arena Ultimax,0.080338448,0.08,,-0.000338448,,,
Peak Performance,0.03047841,0.03,,-0.00047841,,,
NHL FaceOff 99,0.43033725,0.43,,-0.00033725,,,
Twisted Metal: Head On,0.770374976,0.77,,-0.000374976,,,
Phantom Crash,0.050461121,0.05,,-0.000461121,,,
NHL Blades of Steel 2000,0.030365735,0.04,,0.009634265,,,
Grand Theft Auto: Vice City Stories,0.97006017,0.97,,-6.01697E-05,,,
Lost Kingdoms,0.160167076,0.17,,0.009832924,,,
Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),0.020476833,0.02,,-0.000476833,,,
Tobal No.1,0.920001239,0.92,,-1.23858E-06,,,
Superman: The New Superman Adventures,0.40043734,0.41,,0.00956266,,,
Plants vs. Zombies: Garden Warfare,0.610456564,0.61,,-0.000456564,,,
Resident Evil 6,3.100100428,3.1,,-0.000100428,,,
Alpha Protocol,0.389522813,0.39,,0.000477187,,,
Left 4 Dead,0.020296723,0.02,,-0.000296723,,,
Atari Anthology,0.390283026,0.4,,0.009716974,,,
Super Street Fighter II: Turbo Revival,0.250323594,0.25,,-0.000323594,,,
Smart Kid's Mega Game Mix,0.010386147,0.01,,-0.000386147,,,
East India Company Collection,0.030504622,0.03,,-0.000504622,,,
NatGeo Challenge! Wild Life,0.030385002,0.04,,0.009614998,,,
Dragon Quest IV: Chapters of the Chosen,1.619538575,1.62,,0.000461425,,,
Jacqueline Wilson's Tracy Beaker: The Game,0.050387509,0.06,,0.009612491,,,
The Grim Adventures of Billy & Mandy,0.040452763,0.05,,0.009547237,,,
Freestyle Metal X,0.010478824,0.02,,0.009521176,,,
Digimon Rumble Arena 2,0.100336924,0.09,,-0.010336924,,,
Sega Smash Pack,0.320238046,0.32,,-0.000238046,,,
Furu Furu Park,0.050245911,0.05,,-0.000245911,,,
Phantasy Star Online Episode I & II,0.460001439,0.45,,-0.010001439,,,
Bella Sara 2 - The Magic of Drasilmare,0.020150423,0.02,,-0.000150423,,,
Driver: Parallel Lines,0.060296252,0.07,,0.009703748,,,
Syphon Filter: Dark Mirror,0.300263062,0.29,,-0.010263062,,,
Yogi Bear: The Video Game,0.140443705,0.14,,-0.000443705,,,
ESPN NFL Football,0.55017858,0.56,,0.00982142,,,
Master Jin Jin's IQ Challenge,0.140264265,0.14,,-0.000264265,,,
Mario Strikers Charged,2.5798188,2.58,,0.0001812,,,
Sloane to MacHale no Nazo no Monogatari 2,0.090860605,0.09,,-0.000860605,,,
Pajama Sam: Don't Fear The Dark,0.100138858,0.1,,-0.000138858,,,
Return to Castle Wolfenstein: Operation Resurrection,0.530460328,0.53,,-0.000460328,,,
Naruto: Ninja Destiny,0.190287247,0.19,,-0.000287247,,,
Jikkyou Powerful Pro Yakyuu 9,0.440310419,0.44,,-0.000310419,,,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.210248142,0.2,,-0.010248142,,,
Disney Planes Fire & Rescue,0.100449644,0.09,,-0.010449644,,,
Disney Sing It,1.190085486,1.19,,-8.54856E-05,,,
Riviera: The Promised Land,0.100134075,0.1,,-0.000134075,,,
WWE SmackDown vs. Raw 2010,1.079874992,1.07,,-0.009874992,,,
Black,0.410226129,0.42,,0.009773871,,,
EyeToy Play,4.209624864,4.2,,-0.009624864,,,
Allied General,0.190481223,0.19,,-0.000481223,,,
Major League Baseball 2K7,0.250249714,0.25,,-0.000249714,,,
Monster Jam: Path of Destruction,0.120310508,0.12,,-0.000310508,,,
Risen 3: Titan Lords,0.059963815,0.06,,3.61851E-05,,,
Super Mario World,20.61916381,20.61,,-0.009163811,,,
Dragon Quest Monsters: Caravan Heart,0.659946077,0.66,,5.39234E-05,,,
Winning Post 8 2016,0.010333292,0.01,,-0.000333292,,,
Yuu Yuu Hakusho DS: Ankoku Bujutsukai Hen,0.020452484,0.02,,-0.000452484,,,
Star Fox Command,0.530258894,0.53,,-0.000258894,,,
Lost Heroes,0.070031226,0.07,,-3.12257E-05,,,
Peter Jackson's King Kong: The Official Game of the Movie,0.250536345,0.24,,-0.010536345,,,
Jewel Quest 5: The Sleepless Star,0.050448112,0.05,,-0.000448112,,,
Over G Fighters,0.220347978,0.21,,-0.010347978,,,
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,0.230425619,0.23,,-0.000425619,,,
Phantom Kingdom Portable,0.040035062,0.04,,-3.50615E-05,,,
Transformers: Prime,0.010455206,0.01,,-0.000455206,,,
Chaos;Head - Love Chu*Chu!,0.030146264,0.03,,-0.000146264,,,
Chicken Shoot,0.040453494,0.04,,-0.000453494,,,
Aliens vs Predator,1.050163694,1.04,,-0.010163694,,,
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,0.060379036,0.06,,-0.000379036,,,
Halo 3,12.11898273,12.12,,0.001017268,,,
TMNT,0.040399954,0.04,,-0.000399954,,,
SNK vs. Capcom Card Fighters DS,0.100648619,0.1,,-0.000648619,,,
ESPN X Games Skateboarding,0.370174706,0.36,,-0.010174706,,,
Cities: Skylines,0.139916137,0.14,,8.38631E-05,,,
Just Dance Wii U,0.0903752,0.09,,-0.0003752,,,
Armored Core 3 Portable,0.080532454,0.08,,-0.000532454,,,
Tornado Outbreak,0.100358777,0.1,,-0.000358777,,,
Need for Speed: Hot Pursuit 2,0.820310093,0.82,,-0.000310093,,,
Scarlett: Nichijou no Kyoukaisen,0.010148823,0.01,,-0.000148823,,,
Yamasa Digi Portable: Matsuri no Tatsujin - Win-Chan no Natsumatsuri,0.020384155,0.02,,-0.000384155,,,
The Lost Chronicles of Zerzura,0.060281374,0.05,,-0.010281374,,,
Aeon Flux,0.050633095,0.04,,-0.010633095,,,
LEGO Batman: The Videogame,1.270004421,1.27,,-4.42147E-06,,,
Bejeweled Twist,0.090796515,0.1,,0.009203485,,,
Nicktoons: Unite!,0.11013829,0.11,,-0.00013829,,,
Umineko no Naku Koro ni: Majo to Suiri no Rinbukyoku,0.020147547,0.02,,-0.000147547,,,
Spider-Man: Friend or Foe,0.010381095,0.01,,-0.000381095,,,
Totally Spies! Totally Party,0.020386308,0.01,,-0.010386308,,,
Cars: Race-O-Rama,0.990305379,0.99,,-0.000305379,,,
Dance Dance Revolution Extreme,2.119913742,2.13,,0.010086258,,,
Pac-Man Collection,2.940630764,2.94,,-0.000630764,,,
The Walking Dead: Survival Instinct,0.620405748,0.63,,0.009594252,,,
Red Faction II,0.040610611,0.03,,-0.010610611,,,
Fullmetal Alchemist: Prince of the Dawn,0.010148823,0.01,,-0.000148823,,,
Ultimate Fighting Championship: Throwdown,0.080359757,0.08,,-0.000359757,,,
UFC Personal Trainer: The Ultimate Fitness System,0.190349251,0.19,,-0.000349251,,,
NHL FaceOff 2000,0.310346715,0.31,,-0.000346715,,,
Red Dead Redemption: Undead Nightmare,1.070159242,1.07,,-0.000159242,,,
Need For Speed: Undercover,0.650625907,0.64,,-0.010625907,,,
Dungeons & Dragons: Neverwinter Nights - Complete,0.010386147,0.01,,-0.000386147,,,
Salt Lake 2002,0.060269937,0.06,,-0.000269937,,,
Ace Combat: Assault Horizon,0.490272656,0.49,,-0.000272656,,,
Utawarerumono: Itsuwari no Kamen,0.070141152,0.07,,-0.000141152,,,
Spider-Man: Web of Shadows - Amazing Allies Edition,0.160436302,0.16,,-0.000436302,,,
Rabbids Invasion: The Interactive TV Show,0.010386877,0.02,,0.009613123,,,
Divinity: Original Sin,0.280009389,0.28,,-9.38892E-06,,,
L.A. Noire,2.699389696,2.7,,0.000610304,,,
F1 Pole Position 64,0.250469074,0.25,,-0.000469074,,,
Valkyrie Profile: Covenant of the Plume,0.420073256,0.42,,-7.32559E-05,,,
Toriko: Gourmet Battle!,0.060032502,0.06,,-3.25018E-05,,,
2 Games in 1: Disney Princess & The Lion King,1.740304433,1.75,,0.009695567,,,
Blood Bowl,0.040451892,0.04,,-0.000451892,,,
Ultimate Card Games,0.120337695,0.12,,-0.000337695,,,
Ship Simulator Extremes,0.050252266,0.05,,-0.000252266,,,
Sega Rally Revo,0.010400817,0.01,,-0.000400817,,,
San Francisco Rush: Extreme Racing,0.390451476,0.38,,-0.010451476,,,
Pinobee: Wings of Adventure,0.080529295,0.08,,-0.000529295,,,
Bomberman Land,0.160159238,0.17,,0.009840762,,,
Assassin's Creed The Ezio Collection,0.20020473,0.2,,-0.00020473,,,
SpongeBob SquarePants: Game Boy Advance Video Volume 3,0.200378954,0.21,,0.009621046,,,
Durarara!! 3-way Standoff,0.050143711,0.05,,-0.000143711,,,
Angry Birds,0.23064626,0.24,,0.00935374,,,
Dragon Ball Z: Sagas,0.450267509,0.46,,0.009732491,,,
WarioWare: Smooth Moves,2.890187114,2.89,,-0.000187114,,,
Cubix Robots for Everyone: Clash 'n' Bash,0.3704357,0.36,,-0.0104357,,,
FIFA 14,0.400374614,0.4,,-0.000374614,,,
FIFA Soccer 08,1.739991486,1.75,,0.010008514,,,
Imagine: Teacher Class Trip,0.239939049,0.24,,6.09511E-05,,,
Arc the Lad,1.109893322,1.11,,0.000106678,,,
Derby Stallion 96,1.050227538,1.05,,-0.000227538,,,
Call of Juarez: Bound in Blood,0.88026496,0.88,,-0.00026496,,,
50 Cent: Blood on the Sand,0.200412035,0.19,,-0.010412035,,,
Truth or Lies,0.110582612,0.11,,-0.000582612,,,
Shining Force II,0.190468177,0.19,,-0.000468177,,,
Dead to Rights: Retribution,0.210224167,0.21,,-0.000224167,,,
Jikkyou Powerful Pro Yakyuu 15,0.080356479,0.08,,-0.000356479,,,
Ghostbusters,0.450848646,0.45,,-0.000848646,,,
Finding Nemo,2.8200977,2.82,,-9.76998E-05,,,
Galaxy Angel II: Mugen Kairou no Kagi,0.030488655,0.03,,-0.000488655,,,
The Amazing Spider-Man (Console Version),0.790363513,0.79,,-0.000363513,,,
Silent Scope,0.390472502,0.38,,-0.010472502,,,
City Life: World Edition,0.04026068,0.04,,-0.00026068,,,
Koudelka,0.090031691,0.08,,-0.010031691,,,
Gravity Games Bike: Street Vert Dirt,0.100536622,0.1,,-0.000536622,,,
River King: Mystic Valley (US sales),0.070362724,0.07,,-0.000362724,,,
The Saboteur,0.0602936,0.06,,-0.0002936,,,
Dead to Rights,1.36038509,1.36,,-0.00038509,,,
Call of Duty 3,1.070775859,1.07,,-0.000775859,,,
Marvel Avengers: Battle for Earth,0.020656146,0.02,,-0.000656146,,,
WipEout HD Fury,0.060368784,0.07,,0.009631216,,,
Doshin the Giant,0.140316658,0.14,,-0.000316658,,,
ESPN Extreme Games,0.390321635,0.38,,-0.010321635,,,
Famicom Mini: Hikari Shinwa: Palutena no Kagami,0.070612885,0.07,,-0.000612885,,,
Kessen III,0.080595955,0.07,,-0.010595955,,,
Crayola: Colorful Journey,0.070187673,0.07,,-0.000187673,,,
Worms,0.030422062,0.02,,-0.010422062,,,
Rurouni Kenshin: Enjou! Kyoto Rinne,0.13043841,0.13,,-0.00043841,,,
Grid Runner,0.030454062,0.03,,-0.000454062,,,
Harry Potter and the Half-Blood Prince,0.320159495,0.33,,0.009840505,,,
3D Baseball,0.030365735,0.03,,-0.000365735,,,
Dragon Ball: Origins (JP & incomplete US sales),0.210126072,0.22,,0.009873928,,,
Bleach: Blade Battlers,0.050121516,0.05,,-0.000121516,,,
Skeleton Warriors,0.080613926,0.08,,-0.000613926,,,
Petz Monkeyz House,0.2201159,0.22,,-0.0001159,,,
The Sum of All Fears,0.040934637,0.04,,-0.000934637,,,
Harry Potter and the Deathly Hallows - Part 2,0.210354291,0.21,,-0.000354291,,,
Super Mario Maker,3.20975776,3.21,,0.00024224,,,
Descent Maximum,0.100688942,0.1,,-0.000688942,,,
World Tour Soccer 2002,0.140201762,0.14,,-0.000201762,,,
Jikkyou Powerful Pro Yakyuu 12,0.450309135,0.45,,-0.000309135,,,
Adventure Time: Finn & Jake Investigations,0.090448022,0.08,,-0.010448022,,,
Kamigami no Asobi InFinite,0.010148823,0.01,,-0.000148823,,,
de Blob 2,0.110510759,0.11,,-0.000510759,,,
Naruto: Clash of Ninja (JP sales),0.220094927,0.21,,-0.010094927,,,
Madden NFL 2004,1.090104774,1.09,,-0.000104774,,,
Bejeweled 3,0.140747115,0.14,,-0.000747115,,,
Jaws Unleashed,0.150211059,0.15,,-0.000211059,,,
Game no Kanzume Vol 2,0.050380319,0.05,,-0.000380319,,,
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,0.040144987,0.04,,-0.000144987,,,
Bleach GC: Tasogare Ni Mamieru Shinigami,0.080117673,0.09,,0.009882327,,,
Mortal Kombat,2.099499241,2.1,,0.000500759,,,
Avalon Code,0.239797868,0.24,,0.000202132,,,
Mountain Bike Adrenaline,0.060164161,0.05,,-0.010164161,,,
LEGO Star Wars III: The Clone Wars,1.760249324,1.76,,-0.000249324,,,
Assassin's Creed II,0.550277218,0.55,,-0.000277218,,,
SimAnimals,0.510200955,0.52,,0.009799045,,,
Super Formation Soccer 94,0.370319374,0.37,,-0.000319374,,,
Hexen,0.190689355,0.19,,-0.000689355,,,
Drawn To Life: SpongeBob SquarePants Edition,1.469947554,1.48,,0.010052446,,,
Hana to Ikimo no Rittai Zukan,0.040381595,0.04,,-0.000381595,,,
Hail to the Chimp,0.05050943,0.06,,0.00949057,,,
WWE SmackDown vs. Raw 2010,1.03994327,1.04,,5.67296E-05,,,
Jump Super Stars,0.550057538,0.55,,-5.75379E-05,,,
Fatal Frame,0.150564849,0.14,,-0.010564849,,,
Tetris Plus,2.410713427,2.4,,-0.010713427,,,
Worms: WMD,0.010267891,0.01,,-0.000267891,,,
Rodea the Sky Soldier,0.120180421,0.12,,-0.000180421,,,
Pirates of the Caribbean: Dead Man's Chest,0.460080646,0.47,,0.009919354,,,
Just Dance 2015,0.250164457,0.25,,-0.000164457,,,
Supermodel Makeover by Lauren Luke,0.020334885,0.02,,-0.000334885,,,
Grease,0.110177293,0.11,,-0.000177293,,,
Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,0.030451208,0.03,,-0.000451208,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,0.04044795,0.05,,0.00955205,,,
Gundam Breaker 3,0.100442246,0.1,,-0.000442246,,,
Battle Rage,0.040694989,0.04,,-0.000694989,,,
Syphon Filter 2,2.150569052,2.15,,-0.000569052,,,
Brutal Legend,0.939945698,0.94,,5.43022E-05,,,
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Machiteba Tengoku! Makereba Jigoku! Ryoutsuryuu Ikkakusenkin Daisakusen!,0.020384155,0.02,,-0.000384155,,,
World Poker Tour,0.210499391,0.21,,-0.000499391,,,
Sacred 3,0.04996261,0.05,,3.739E-05,,,
Excite Truck,0.540011458,0.53,,-0.010011458,,,
Lego Batman 3: Beyond Gotham,0.450237393,0.45,,-0.000237393,,,
Skate City Heroes,0.120274007,0.12,,-0.000274007,,,
Microsoft Flight Simulator 2004: A Century of Flight,0.07018248,0.07,,-0.00018248,,,
SSX On Tour,0.520031087,0.52,,-3.10871E-05,,,
Enemy Territory: Quake Wars,0.450592071,0.45,,-0.000592071,,,
Dynasty Warriors Gundam,0.190484792,0.19,,-0.000484792,,,
Kao Challengers,0.020536408,0.02,,-0.000536408,,,
F1 2015,0.670101173,0.66,,-0.010101173,,,
Hitman: Blood Money,0.150231175,0.14,,-0.010231175,,,
Yu-Gi-Oh: Duel Monsters 4,2.179756418,2.18,,0.000243582,,,
J-League Winning Eleven 2010: Club Championship,0.050360322,0.05,,-0.000360322,,,
Company of Heroes: Anthology,0.180476554,0.18,,-0.000476554,,,
The Nightmare of Druaga: Fushigino Dungeon,0.060032681,0.05,,-0.010032681,,,
All Kamen Rider: Rider Generation 2,0.060447365,0.06,,-0.000447365,,,
DarkStar One: Broken Alliance,0.200379185,0.2,,-0.000379185,,,
Guilty Gear Dust Strikers,0.050258853,0.05,,-0.000258853,,,
WWE All Stars,0.349984393,0.34,,-0.009984393,,,
American Idol,0.550205626,0.55,,-0.000205626,,,
Gochuumon wa Usagi Desu ka?? Wonderful Party!,0.020147547,0.02,,-0.000147547,,,
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",0.480656058,0.48,,-0.000656058,,,
Final Fantasy V,2.449717045,2.45,,0.000282955,,,
Legasista,0.04025425,0.04,,-0.00025425,,,
Super Dodgeball Brawlers (jp sales),0.030362874,0.03,,-0.000362874,,,
Marriage Royale: Prism Story,0.050143711,0.05,,-0.000143711,,,
FIFA Soccer 09,0.490322642,0.49,,-0.000322642,,,
RollerCoaster Tycoon 3,0.270256825,0.27,,-0.000256825,,,
Ty the Tasmanian Tiger 3: Night of the Quinkan,0.09033782,0.09,,-0.00033782,,,
Harvest Moon: Save the Homeland,0.390166327,0.4,,0.009833673,,,
Big Mutha Truckers 2,0.200318329,0.2,,-0.000318329,,,
Super Fire ProWrestling Special,0.360081851,0.36,,-8.18515E-05,,,
Eureka Seven AO: Jungfrau no Hanabanatachi,0.030451208,0.03,,-0.000451208,,,
Diary Girl,0.01019109,0.01,,-0.00019109,,,
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,0.040449925,0.04,,-0.000449925,,,
Open Season,0.130567476,0.13,,-0.000567476,,,
Fading Shadows,0.030750208,0.04,,0.009249792,,,
DEATH NOTE: Kira Game,0.120134749,0.12,,-0.000134749,,,
Infinite Stratos 2: Ignition Hearts,0.030146264,0.03,,-0.000146264,,,
Dragon Quest Monsters: Battle Road Victory,0.32045155,0.32,,-0.00045155,,,
Reader Rabbit Kindergarten,0.130178705,0.12,,-0.010178705,,,
Rugby League Live 3,0.010455206,0.02,,0.009544794,,,
Culdcept Revolt,0.060484812,0.06,,-0.000484812,,,
The Void,0.040234402,0.03,,-0.010234402,,,
Catherine,0.309856795,0.31,,0.000143205,,,
Corvette,1.330214739,1.33,,-0.000214739,,,
Transworld Surf,0.130502999,0.13,,-0.000502999,,,
Nendoroid Generation,0.060032502,0.06,,-3.25018E-05,,,
NBA 2K8,0.600249015,0.6,,-0.000249015,,,
Worms: Battle Islands,0.220345467,0.22,,-0.000345467,,,
Links 2004,0.280047864,0.29,,0.009952136,,,
Spider-Man: Edge of Time,0.250379376,0.25,,-0.000379376,,,
Disney's Planes,0.140130371,0.14,,-0.000130371,,,
Jeopardy!,0.480339244,0.48,,-0.000339244,,,
Natalie Brooks: Mystery at Hillcrest High,0.02045536,0.02,,-0.00045536,,,
Bugriders: The Race of Kings,0.020478986,0.02,,-0.000478986,,,
Warhammer Online: Age of Reckoning,0.019997984,0.02,,2.01583E-06,,,
Fighting Vipers 2,0.040122792,0.04,,-0.000122792,,,
NBA Live 15,0.210239179,0.21,,-0.000239179,,,
WipEout XL,0.260601446,0.25,,-0.010601446,,,
Zero4 Champ RR,0.36032065,0.36,,-0.00032065,,,
Chuck E. Cheese's Sports Games,0.020170525,0.02,,-0.000170525,,,
Yanya Caballista: City Skater,0.050246626,0.05,,-0.000246626,,,
NASCAR Thunder 2002,1.160236664,1.16,,-0.000236664,,,
Darksiders II,0.150199421,0.15,,-0.000199421,,,
Sacred 2: Fallen Angel,0.059751242,0.06,,0.000248758,,,
Rabbids Go Home,0.720498867,0.72,,-0.000498867,,,
Harry Potter and the Half-Blood Prince,0.610335715,0.61,,-0.000335715,,,
Naruto: Ninja Council,0.220327199,0.22,,-0.000327199,,,
Need for Speed: Hot Pursuit,2.779776469,2.78,,0.000223531,,,
Anno 1701: Dawn of Discovery,0.130223535,0.13,,-0.000223535,,,
Destruction Derby Arenas,0.130543046,0.13,,-0.000543046,,,
DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,0.100373916,0.1,,-0.000373916,,,
"Ed, Edd n Eddy: The Mis-Edventures",0.250516519,0.25,,-0.000516519,,,
Way of the Samurai 4,0.200231515,0.19,,-0.010231515,,,
Trade & Battle: Card Hero,0.200466901,0.2,,-0.000466901,,,
Jackass the Game,0.29023169,0.28,,-0.01023169,,,
ESPN NBA 2Night,0.100270934,0.09,,-0.010270934,,,
Majin Tensei,0.080029942,0.08,,-2.99421E-05,,,
Alex Rider: Stormbreaker,0.060647815,0.07,,0.009352185,,,
The Fairly Odd Parents: Game Boy Advance Video Volume 1,0.430364676,0.43,,-0.000364676,,,
Cosmetic Paradise: Make no Kiseki,0.010385431,0.01,,-0.000385431,,,
Van Helsing,0.450396597,0.44,,-0.010396597,,,
TrackMania Turbo,0.060358316,0.06,,-0.000358316,,,
Sigma Harmonics,0.070031226,0.07,,-3.12257E-05,,,
Chou!! Super Nep League DS,0.020364158,0.02,,-0.000364158,,,
Kikou Heidan J-Phoenix,0.060447365,0.06,,-0.000447365,,,
Assassin's Creed Chronicles: China,0.040465802,0.04,,-0.000465802,,,
Tiger Woods PGA Tour 06,0.100284874,0.11,,0.009715126,,,
Disney Infinity 2.0: Marvel Super Heroes,0.620382532,0.62,,-0.000382532,,,
Final Fantasy XIII-2,2.629726626,2.63,,0.000273374,,,
NBA 2K11,0.420232609,0.42,,-0.000232609,,,
RalliSport Challenge,0.570231266,0.57,,-0.000231266,,,
Matchbox Cross Town Heroes,0.16047319,0.17,,0.00952681,,,
The Clique: Diss and Make Up,0.119940124,0.12,,5.98755E-05,,,
Championship Manager 99/00,1.070327334,1.07,,-0.000327334,,,
